filetype	filename	link	size	sha256checksum
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/C2M2/2022-01-10/KidsFirst_C2M2_2022-01-10_datapackage.zip	7667919	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/C2M2/2022-04-15/KidsFirst_C2M2_2022-04-15_datapackage.zip	16958405	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/C2M2/2022-07-08/KidsFirst_C2M2_2022-07-08_datapackage.zip	35346312	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/C2M2/2022-09-02/KidsFirst_C2M2_2022-09-02_datapackage.zip	35385390	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/C2M2/2022-12-29/KidsFirst_C2M2_2022-12-29_datapackage.zip	36189016	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/C2M2/2023-04-03/KidsFirst_C2M2_2023-04-03_datapackage.zip	40433334	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/C2M2/2023-06-09/KidsFirst_C2M2_2023-06-09_datapackage.zip	42838240	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/C2M2/2023-09-14/KidsFirst_C2M2_2023-09-14_datapackage.zip	36376068	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2021-03-24/LINCS_C2M2_2021-03-24_datapackage.zip	29442018	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2021-06-02/LINCS_C2M2_2021-06-02_datapackage.zip	148131346	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2021-09-29/LINCS_C2M2_2021-09-29_datapackage.zip	137459198	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2022-01-11/LINCS_C2M2_2022-01-11_datapackage.zip	179399261	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2022-04-14/LINCS_C2M2_2022-04-14_datapackage.zip	179366779	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2022-06-20/LINCS_C2M2_2022-06-20_datapackage.zip	172141434	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2022-09-14/LINCS_C2M2_2022-09-14_datapackage.zip	173552344	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2022-12-02/LINCS_C2M2_2022-12-02_datapackage.zip	174221425	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2023-03-21/LINCS_C2M2_2023-03-21_datapackage.zip	174750462	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2023-06-15/LINCS_C2M2_2023-06-15_datapackage.zip	174086767	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/LINCS/C2M2/2023-09-18/LINCS_C2M2_2023-09-18_datapackage.zip	177450304	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MW/C2M2/2021-03-24/MW_C2M2_2021-03-24_datapackage.zip	1017905	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MW/C2M2/2021-06-10/MW_C2M2_2021-06-10_datapackage.zip	1110796	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MW/C2M2/2021-08-18/MW_C2M2_2021-08-18_datapackage.zip	1450792	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MW/C2M2/2021-10-15/MW_C2M2_2021-10-15_datapackage.zip	1257686	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MW/C2M2/2022-01-12/MW_C2M2_2022-01-12_datapackage.zip	1337951	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MW/C2M2/2022-04-15/MW_C2M2_2022-04-15_datapackage.zip	1840578	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MW/C2M2/2022-06-10/MW_C2M2_2022-06-10_datapackage.zip	1950307	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MW/C2M2/2022-09-09/MW_C2M2_2022-09-09_datapackage.zip	1981348	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MW/C2M2/2022-12-21/MW_C2M2_2022-12-21_datapackage.zip	2090180	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MW/C2M2/2023-03-09/MW_C2M2_2023-03-09_datapackage.zip	2352821	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MW/C2M2/2023-06-07/MW_C2M2_2023-06-07_datapackage.zip	2522883	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MW/C2M2/2023-09-08/MW_C2M2_2023-09-08_datapackage.zip	2719703	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MoTrPAC/C2M2/2023-03-10/MoTrPAC_C2M2_2023-03-10_datapackage.zip	68952	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MoTrPAC/C2M2/2023-06-14/MoTrPAC_C2M2_2023-06-14_datapackage.zip	333981	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MoTrPAC/C2M2/2023-07-14/MoTrPAC_C2M2_2023-07-14_datapackage.zip	995864	
KG Assertions	IDG.zip	https://cfde-drc.s3.amazonaws.com/IDG/KG Assertions/2024-04-29/IDG.zip	14057993	JCJxrwPeyiD4Tv9kWX8MpTHZH/fqOP7MEn1NLvuOCDM=
KG Assertions	LINCS.zip	https://cfde-drc.s3.amazonaws.com/LINCS/KG Assertions/2024-05-08/LINCS.zip	12180995	AmB/S1bjekbA6MAzgcgkjSnKwltdVasKOx5bTn5jHPs=
KG Assertions	MW.zip	https://cfde-drc.s3.amazonaws.com/Metabolomics/KG Assertions/2024-05-08/MW.zip	1794255	QsjwoXfQcDao/MzxN40i1sHUxGUCyoEbooS7CFqON04=
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/MoTrPAC/C2M2/2023-09-12/MoTrPAC_C2M2_2023-09-12_datapackage.zip	996648	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/SPARC/C2M2/2021-06-10/SPARC_C2M2_2021-06-10_datapackage.zip	7069007	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/SPARC/C2M2/2021-08-20/SPARC_C2M2_2021-08-20_datapackage.zip	6153715	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/SPARC/C2M2/2022-01-15/SPARC_C2M2_2022-01-15_datapackage.zip	13129239	
C2M2	KidsFirst_C2M2_datapackage_2024-03-10.zip	https://cfde-drc.s3.amazonaws.com/Kids First/C2M2/2024-04-03/KidsFirst_C2M2_datapackage_2024-03-10.zip	38911884	KkJ/3bJkS8rhppEKdG4z2y+S/YQyOn8nAGbh8voKAOM=
C2M2	MoTrPAC_C2M2_2023-11-15_datapackage.zip	https://cfde-drc.s3.amazonaws.com/MoTrPAC/C2M2/2024-04-03/MoTrPAC_C2M2_2023-11-15_datapackage.zip	1644030	3MKNbKDjVX1PBzSlGMeFKq7BB2KNIvqLoOAUcH3q8lI=
C2M2	MW_C2M2_2023-12-08_datapackage.zip	https://cfde-drc.s3.amazonaws.com/Metabolomics/C2M2/2024-04-03/MW_C2M2_2023-12-08_datapackage.zip	2977024	5ulSzsMyPcHTQRcSR6oBe8ipjzcFTE/19ks8mKdXCvk=
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/SPARC/C2M2/2022-04-16/SPARC_C2M2_2022-04-16_datapackage.zip	94135128	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/SPARC/C2M2/2022-06-24/SPARC_C2M2_2022-06-24_datapackage.zip	56266479	
KG Assertions	KF.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/KG Assertions/2024-04-29/KF.zip	1221383	o7p50SSe/uDY48jYSwSYCWRLESaQ1XYIniUjMJ6hj4Q=
KG Assertions	MoTrPAC.zip	https://cfde-drc.s3.amazonaws.com/MoTrPAC/KG Assertions/2024-04-29/MoTrPAC.zip	355992	j0ZAvfhNCqAcOPs5H/J7urbdyYLSshOA16++K2K0+B4=
KG Assertions	MW.zip	https://cfde-drc.s3.amazonaws.com/Metabolomics/KG Assertions/2024-04-29/MW.zip	669194	8VQ6p8QeXX0pD0KmenGZP77zSIk5zDVz9np9povQ4t0=
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/SPARC/C2M2/2022-09-17/SPARC_C2M2_2022-09-17_datapackage.zip	127553217	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/SPARC/C2M2/2023-01-10/SPARC_C2M2_2023-01-10_datapackage.zip	12803104	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/SPARC/C2M2/2023-06-16/SPARC_C2M2_2023-06-16_datapackage.zip	83822151	
C2M2	datapackage.zip	https://cfde-drc.s3.amazonaws.com/SPARC/C2M2/2023-09-18/SPARC_C2M2_2023-09-18_datapackage.zip	43184266	
XMT	GTEx_Tissues_V8_2023.gmt	https://cfde-drc.s3.amazonaws.com/GTEx/XMT/2023-03-10/GTEx_XMT_2023-03-10_GTEx_Tissues_V8_2023.gmt	328065	
XMT	GTEx_Tissue_Expression_Down.gmt	https://cfde-drc.s3.amazonaws.com/GTEx/XMT/2019-09-09/GTEx_XMT_2019-09-09_GTEx_Tissue_Expression_Down.gmt	28177175	
XMT	GTEx_Tissue_Expression_Up.gmt	https://cfde-drc.s3.amazonaws.com/GTEx/XMT/2019-09-09/GTEx_XMT_2019-09-09_GTEx_Tissue_Expression_Up.gmt	28402172	
XMT	GTEx_Aging_Signatures_2021.gmt	https://cfde-drc.s3.amazonaws.com/GTEx/XMT/2022-06-06/GTEx_XMT_2022-06-06_GTEx_Aging_Signatures_2021.gmt	493977	
XMT	LINCS_L1000_Chem_Pert_down.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2022-06-06/LINCS_XMT_2022-06-06_LINCS_L1000_Chem_Pert_down.gmt	14045682	
XMT	LINCS_L1000_Chem_Pert_up.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2022-06-06/LINCS_XMT_2022-06-06_LINCS_L1000_Chem_Pert_up.gmt	16214810	
XMT	LINCS_L1000_Ligand_Perturbations_down.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2022-06-06/LINCS_XMT_2022-06-06_LINCS_L1000_Ligand_Perturbations_down.gmt	95200	
XMT	LINCS_L1000_Ligand_Perturbations_up.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2022-06-06/LINCS_XMT_2022-06-06_LINCS_L1000_Ligand_Perturbations_up.gmt	89491	
XMT	LINCS_L1000_CRISPR_KO_Consensus_Sigs.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2022-12-13/LINCS_XMT_2022-12-13_LINCS_L1000_CRISPR_KO_Consensus_Sigs.gmt	15605699	
XMT	LINCS_L1000_Chem_Pert_Consensus_Sigs.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2022-12-13/LINCS_XMT_2022-12-13_LINCS_L1000_Chem_Pert_Consensus_Sigs.gmt	16319270	
XMT	GlyGen_Glycosylated_Proteins_2022.gmt	https://cfde-drc.s3.amazonaws.com/GlyGen/XMT/2022-12-13/GlyGen_XMT_2022-12-13_GlyGen_Glycosylated_Proteins_2022.gmt	93430	
XMT	IDG_Drug_Targets_2022.gmt	https://cfde-drc.s3.amazonaws.com/IDG/XMT/2022-12-13/IDG_XMT_2022-12-13_IDG_Drug_Targets_2022.gmt	97211	
XMT	ARCHS4_IDG_Coexp.gmt	https://cfde-drc.s3.amazonaws.com/IDG/XMT/2022-06-06/IDG_XMT_2022-06-06_ARCHS4_IDG_Coexp.gmt	755715	
XMT	DrugCentral_Target.dmt	https://cfde-drc.s3.amazonaws.com/IDG/XMT/2020-03-10/IDG_XMT_2020-03-10_DrugCentral_Target.dmt	126906	
XMT	Metabolomics_Workbench_Metabolites_2022	https://cfde-drc.s3.amazonaws.com/MW/XMT/2022-12-13/MW_XMT_2022-12-13_Metabolomics_Workbench_Metabolites_2022.gmt	25851	
XMT	MoTrPAC_Rat_Exercise_Sigs_2023.gmt	https://cfde-drc.s3.amazonaws.com/MoTrPAC/XMT/2023-09-29/MoTrPAC_XMT_2023-09-29_MoTrPAC_Rat_Exercise_Sigs_2023.gmt	187733	
XMT	KOMP2_Mouse_Phenotypes_2022.gmt	https://cfde-drc.s3.amazonaws.com/KOMP2/XMT/2022-12-13/KOMP2_XMT_2022-12-13_KOMP2_Mouse_Phenotypes_2022.gmt	246609	
KG Assertions	4DN.edges.csv	https://cfde-drc.s3.amazonaws.com/4DN/KG/2023-10-26/4DN_KG_2023-10-26_4DN.edges.csv	416360199	
KG Assertions	ERCC.edges.csv	https://cfde-drc.s3.amazonaws.com/ERCC/KG/2023-10-26/ERCC_KG_2023-10-26_ERCC.edges.csv	4937280813	
KG Assertions	GTEX.edges.csv	https://cfde-drc.s3.amazonaws.com/GTEx/KG/2023-10-26/GTEx_KG_2023-10-26_GTEX.edges.csv	4354859363	
KG Assertions	GLYGEN.edges.csv	https://cfde-drc.s3.amazonaws.com/GlyGen/KG/2023-10-26/GlyGen_KG_2023-10-26_GLYGEN.edges.csv	103993015	
KG Assertions	IDG.edges.csv	https://cfde-drc.s3.amazonaws.com/IDG/KG/2023-10-26/IDG_KG_2023-10-26_IDG.edges.csv	68570402	
KG Assertions	KF.edges.csv	https://cfde-drc.s3.amazonaws.com/KidsFirst/KG/2023-10-26/KidsFirst_KG_2023-10-26_KF.edges.csv	30065439	
KG Assertions	LINCS.edges.csv	https://cfde-drc.s3.amazonaws.com/LINCS/KG/2023-10-26/LINCS_KG_2023-10-26_LINCS.edges.csv	57219356	
KG Assertions	MW.edges.csv	https://cfde-drc.s3.amazonaws.com/MW/KG/2023-10-26/MW_KG_2023-10-26_MW.edges.csv	12648515	
KG Assertions	MOTORPAC.edges.csv	https://cfde-drc.s3.amazonaws.com/MoTrPAC/KG/2023-10-26/MoTrPAC_KG_2023-10-26_MOTORPAC.edges.csv	4941592	
C2M2	240905_c2m2_4dn_sub .zip	https://cfde-drc.s3.amazonaws.com/4DN/C2M2/2024-09-05/240905_c2m2_4dn_sub .zip	5519720	4fHxGh+/VAMF9ClNFldzq+IjfWCYKsOiAufRQ2/9uww=
KG Assertions	Asset_Description-Bridge2AI_CM4AI_Talent_Knowledge_Graph_TKG_v2.pdf	https://cfde-drc.s3.amazonaws.com/Bridge2AI/KG Assertions/2024-08-03/Asset_Description-Bridge2AI_CM4AI_Talent_Knowledge_Graph_TKG_v2.pdf	789256	FsMFQfvgsSez8JChcmbqZI4RQUpLddSDknUd3bf0oHE=
KG Assertions	Bridge2AI_CM4AI_Talent_Knowledge_Graph_TKG_v2_202402.zip	https://cfde-drc.s3.amazonaws.com/Bridge2AI/KG Assertions/2024-08-03/Bridge2AI_CM4AI_Talent_Knowledge_Graph_TKG_v2_202402.zip	303300893	w0t9O650SYoF2hajSOuZC5zyNys3N7qQjCTGIfpmwoE=
KG Assertions	Asset_Description-Bridge2AI_CM4AI_Talent_Knowledge_Graph_TKG_v2_202402.pdf	https://cfde-drc.s3.amazonaws.com/Bridge2AI/KG Assertions/2024-08-03/Asset_Description-Bridge2AI_CM4AI_Talent_Knowledge_Graph_TKG_v2_202402.pdf	789256	FsMFQfvgsSez8JChcmbqZI4RQUpLddSDknUd3bf0oHE=
C2M2	MW_submission_packet_20240906.zip	https://cfde-drc.s3.amazonaws.com/Metabolomics/C2M2/2024-09-11/MW_submission_packet_20240906.zip	4667431	iLfdzYlzJkrwQf5NVa9J99XPig4wwmWXEo1EZbqcnlI=
XMT	LINCS_L1000_Consensus_Median_Signatures.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-09-14/LINCS_L1000_Consensus_Median_Signatures.gmt	20856572	r7Zgq+xzJM2o7nXBEAUj9G8aCRpNQhoLGKMsYA03QKc=
C2M2	data.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2024-09-16/data.zip	16226487	faKxxBZ5+jn89RCdEcfyv4BSH/ZUoEmn0HihHr58za4=
C2M2	c2m2_2024SEP16_submit.zip	https://cfde-drc.s3.amazonaws.com/SPARC/C2M2/2024-09-17/c2m2_2024SEP16_submit.zip	18656409	EFSmwpde/Etj5mYLtPcoi7fQ7OBQhUncGBtuUJ3UiT0=
C2M2	data.zip	https://cfde-drc.s3.amazonaws.com/GlyGen/C2M2/2024-09-17/data.zip	16217337	agBxoBfYywDER6dWq5YOBy1QDcE1UN+JuNiEokkucIY=
C2M2	20240821_frictionless.zip	https://cfde-drc.s3.amazonaws.com/KidsFirst/C2M2/2024-09-17/20240821_frictionless.zip	43983256	he9tcOmbyeyQBi66OzRALtOEUX+1V3o3UdaKqKdgNJU=
XMT	RBP_Unique_Loci.zip	https://cfde-drc.s3.amazonaws.com/ExRNA/XMT/2024-09-23/RBP_Unique_Loci.zip	174651	C8QBHXvFtSulAb6+sFHzuMWfM1lmYFBqTXxNMxfsclY=
XMT	RBP_unique_loci_in_biofluids.rbpmt	https://cfde-drc.s3.amazonaws.com/ExRNA/XMT/2024-09-24/RBP_unique_loci_in_biofluids.rbpmt	408293	PNkITlIVkRSYAGIuXuB7a9xFRBhEN+QRjU8hOkdB2nA=
XMT	RBP_unique_loci_in_biofluids.rbpmt	https://cfde-drc.s3.amazonaws.com/ExRNA/XMT/2024-09-25/RBP_unique_loci_in_biofluids.rbpmt	408628	dDeyRZDi6SEkY4xAV4o1w0NGCW1bEqFOHQqcEozoNsg=
XMT	LINCS_L1000_Consensus_Median_Signatures_sample.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-11-21/LINCS_L1000_Consensus_Median_Signatures_sample.gmt	20854131	50BRdi31ZQw8ZPrQv5517zOywTQG8WSLUvdEwQ0sC3s=
XMT	LINCS_L1000_Consensus_Median_Signatures_sample1.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-11-21/LINCS_L1000_Consensus_Median_Signatures_sample1.gmt	20854131	50BRdi31ZQw8ZPrQv5517zOywTQG8WSLUvdEwQ0sC3s=
XMT	LINCS_L1000_Consensus_Median_Signatures_sample2.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-11-21/LINCS_L1000_Consensus_Median_Signatures_sample2.gmt	20854131	50BRdi31ZQw8ZPrQv5517zOywTQG8WSLUvdEwQ0sC3s=
XMT	LINCS_L1000_Consensus_Median_Signatures_sample3.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-11-21/LINCS_L1000_Consensus_Median_Signatures_sample3.gmt	20854131	50BRdi31ZQw8ZPrQv5517zOywTQG8WSLUvdEwQ0sC3s=
XMT	LINCS_L1000_Consensus_Median_Signatures_sample4.txt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-11-21/LINCS_L1000_Consensus_Median_Signatures_sample4.txt	20854131	50BRdi31ZQw8ZPrQv5517zOywTQG8WSLUvdEwQ0sC3s=
XMT	LINCS_L1000_Consensus_Median_Signatures_sample5.txt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-11-22/LINCS_L1000_Consensus_Median_Signatures_sample5.txt	20854131	50BRdi31ZQw8ZPrQv5517zOywTQG8WSLUvdEwQ0sC3s=
XMT	LINCS_L1000_Consensus_Median_Signatures_sample5.gmt.txt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-11-25/LINCS_L1000_Consensus_Median_Signatures_sample5.gmt.txt	20854131	50BRdi31ZQw8ZPrQv5517zOywTQG8WSLUvdEwQ0sC3s=
XMT	LINCS_L1000_Consensus_Median_Signatures_sample6.gmt.txt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-11-25/LINCS_L1000_Consensus_Median_Signatures_sample6.gmt.txt	20854131	50BRdi31ZQw8ZPrQv5517zOywTQG8WSLUvdEwQ0sC3s=
XMT	LINCS_L1000_Consensus_Median_Signatures_sample7.gmt.txt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-11-25/LINCS_L1000_Consensus_Median_Signatures_sample7.gmt.txt	20854131	50BRdi31ZQw8ZPrQv5517zOywTQG8WSLUvdEwQ0sC3s=
XMT	LINCS_L1000_Consensus_Median_Signatures_sample8.gmt.txt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-11-27/LINCS_L1000_Consensus_Median_Signatures_sample8.gmt.txt	20854131	50BRdi31ZQw8ZPrQv5517zOywTQG8WSLUvdEwQ0sC3s=
XMT	LINCS_L1000_Consensus_Median_Signatures_sample9.gmt.txt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-11-27/LINCS_L1000_Consensus_Median_Signatures_sample9.gmt.txt	20854131	50BRdi31ZQw8ZPrQv5517zOywTQG8WSLUvdEwQ0sC3s=
XMT	LINCS_L1000_Consensus_CP_Median_Signatures.gmt.txt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-12-05/LINCS_L1000_Consensus_CP_Median_Signatures.gmt.txt	20854131	50BRdi31ZQw8ZPrQv5517zOywTQG8WSLUvdEwQ0sC3s=
